Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01331,1331,1331,138176524,2000000011226,Красота,01331,Повязка-бандаж антихрап - черная+розовая,1331,"3,0","170,0",2000000011226,нет,"0,09",138176524,Sale,"34,5",,0.0,
01552,1358/M,1358,138953481,2000000014043,Спортивные товары,01552,"Сапожки для разогрева женские, полиэстер, голубые, размер 36-37 - M",1358/M,"48,0","980,0",2000000014043,1552,"0,26",138953481,A2,"34,5",,5.0,
01376,1376/33-60,1376,138421765,2000000011776,Для малышей,01376,Козырек для купания - Динозавр голубой,1376/33-60,"5,0","195,0",2000000011776,нет,"0,15",138421765,C1,"34,5",,0.0,
00857,857/L,857,74938969,2000000005003,Для животных,00857,"Трусы-памперсы для собак многоразовые. ""L"" Желтые",857/L,"9,0","246,0",2000000005003,857,"0,1",74938969,Sale,"35,8",,0.0,
01465,1465_неактив,1465_неактив,нет кт,2000000012902,Спортивные товары,01465,Забродники сапоги 44 размер - синие-хакки,1465_неактив,"26,6","1113,0",2000000012902,0,"1,0",нет кт,Архив,"34,5",,0.0,
01048,1048/43,1048,111749181,2000000007038,Для животных,01048,"Ошейник для домашних животных с защитой от потери для Apple Airtag GPS, Розовый 少女粉",1048/43,"7,5","190,0",2000000007038,1048,"0,01",111749181,Sale,"34,5",,0.0,
00989,984/62-70,984,83874685,2000000006376,Красота,00989,Хидлейс - от натирания (бандалетки) бежевые 50-54 см (ВБ-62-70см) - E,984/62-70,"7,2","221,0",2000000006376,989,"0,1",83874685,Sale,"34,5",,0.0,
00836,836,836,?,2000000004730,Архив,00836,"Сумочка ""леопард""  для менструальных чаш. 1 шт.",836,"0,0","0,0",2000000004730,нет,"0,1",?,Sale,"34,5",,0.0,
01612,1612,1612,150306230,2000000015248,Дом,01612,Портативный мини блендер для смузи голубой,1612,"16,0","604,0",2000000015248,1612,"0,06",150306230,Sale,"34,5",,0.0,
01147,1147,1147,114960121,2000000009094,Винил,01147,Уровень круглый механический пузырьковый 32 мм - 2 шт. -  СИНИЙ 直经32x7MM蓝水刻度,1147,"1,0","0,0",2000000009094,1147,"0,011",114960121,С1,"25,7",,,
